id,question,answer,expected_source_ids,retrieved_source_ids,relevance,groundedness,completeness,citation_correctness,unsupported_claims,hallucinated
q011,What obligations follow successful business registration?,"Following successful tax registration, certain obligations must be met:

*   Bank account information must be provided in digital form within 15 working days after completing tax registration [4].
*   Failure to provide this bank account information by the specified deadline may result in the revocation of certificates from GDT [4].",['obr_post_registration_obligations'],"['online_business_registration_guide', 'online_business_registration_guide', 'online_business_registration_guide', 'online_business_registration_guide', 'online_business_registration_guide']",5,5,5,1,[],False
q012,What should a company do after receiving registration approval?,"After receiving approval from the Ministry of Commerce, the General Department of Taxation, and the Ministry of Labour and Vocational Training, a company must complete several additional steps [2]. These include:

1. **Bank Account Setup:** The company is required to establish a company bank account [2]. This bank account detail must be updated into the Online Business Registration Platform within 15 working days after receiving approval from the General Department of Taxation on its application [2].
2. **Specialized Licensing:** Depending on the business activity, the company may need to request separate specialized licenses. Obtaining these licenses requires undergoing inspections and procedures to ensure compliance with government rules and standards (for example, a hotel with an indoor restaurant would require specialized licenses for both facilities) [2].

Additionally, during the registration process, employees must be registered with the Social Security Office [1].",['obr_post_registration_obligations'],"['supporting_msmes_sdgs_cambodia', 'obr_post_registration_obligations', 'online_business_registration_guide', 'supporting_msmes_sdgs_cambodia', 'online_business_registration_guide']",5,5,5,1,[],False
q013,Are there post-registration compliance duties?,"Yes, there are specific post-registration requirements and compliance duties related to tax registration [5].

For both foreign companies and sole proprietorships, if tax registration is completed, the following duty must be fulfilled:
*   The bank account information must be provided in digital form within 15 working days after tax registration. Failure to comply with this requirement could result in the revocation of issued certificates from GDT [5].",['obr_post_registration_obligations'],"['gdt_tax_faq', 'gdt_tax_faq', 'online_business_registration_guide', 'online_business_registration_guide', 'online_business_registration_guide']",5,5,5,3,[],False
q014,Where are obligations after registration explained?,"Obligations after registration are explained in the tax procedures documentation, outlining specific required submissions and filings.

**Tax Registration Requirements:**
*   When registering a Partnership Company, tax registration requires providing ""Bank account information"" [4]. This bank account information must be provided in digital form within 15 working days after tax registration; failure to do so may result in the revocation of given certificates from GDT [4].
*   After getting approval on tax registration, one must provide a Certificate of bank account information issued by the bank (certificate of bank account or bank statement or bank account book) [3].

**Tax Filing Obligations:**
*   Self-declared taxpayers have an obligation to submit declarations and pay taxes monthly and annually, covering items such as withholding tax on income, accommodation tax, special tax on goods and services, environmental tax, and general excise tax, among others [3].",['obr_post_registration_obligations'],"['online_business_registration_guide', 'online_business_registration_guide', 'gdt_tax_faq', 'online_business_registration_guide', 'online_business_registration_guide']",5,5,5,1,['Obligations after registration are explained in the tax procedures documentation'],True
q015,What ongoing steps must a newly registered business consider?,"A newly registered business must consider several ongoing steps, according to the Royal Government of Cambodia [4]. These obligations include:

1.  **Updating Bank Account Details:** The company is required to have a properly-setup company bank account and must update these details into the Online Business Registration Platform within 15 working days after the General Department of Taxation approves the application [4].
2.  **Requesting Specialized Licenses:** Some business activities require separate specialized licenses to ensure that the business operates according to government rules and standards [4]. For example, if a business runs both a hotel and a restaurant, it needs specialized licenses for both establishments (which can be obtained from different ministries) [4]. These requests involve going through inspections and procedures, although some key specialized licenses are available for application, payment, and tracking on the Online Business Registration Platform [4].",['obr_post_registration_obligations'],"['online_business_registration_guide', 'online_business_registration_guide', 'online_business_registration_guide', 'obr_post_registration_obligations', 'online_business_registration_guide']",5,3,5,1,"['according to the Royal Government of Cambodia', 'obtained from different ministries (specifically in the context of the hotel and restaurant example)']",True
q016,When may a company request modification of its registered information?,"A company can modify its registered information under several conditions depending on the application stage [1].

**Before Submission:**
*   When the information has not been submitted to the Ministry of Commerce (MOC), users can draft and amend the details freely [1].

**After Submission/Application Return:**
*   Once an application is submitted, changes are restricted while the relevant officer is checking it [1].
*   Modification is possible when the application is returned by a ministry or institution because the initial information provided was incomplete or incorrect [1]. Specific modifications upon return include:
    *   **MOC:** Revisions may include the enterprise/company name, business activity, address, business owner details, and representative details [1].
    *   **GDT:** Revisions can cover tax registration application info, number of employees, business signs/billboards, estimated turnover, and representative in patent [1].
    *   **MLVT:** Revisions may involve the number of employees and owner or director details [1].

**After Approval:**
*   If changes are required after the company's information has been approved, a request form must be submitted to the relevant ministry/institution, and the institution should be contacted directly for further information [1].",['obr_modify_registratioin_forms'],"['obr_modify_registratioin_forms', 'gdt_tax_faq', 'online_business_registration_guide', 'online_business_registration_guide', 'online_business_registration_guide']",5,5,5,5,[],False
q017,What conditions apply to changing company information?,"Users can draft and amend company information freely as long as it has not been submitted to the Ministry of Commerce (MOC) [1]. However, once an application is submitted, users cannot make changes while a relevant officer is checking the application [1].

Company information modifications are possible only when the application is returned by the ministry/institution because the initially provided information was incomplete or wrong [1]. The specific revisions allowed depend on which ministry returns the application:

*   **Ministry of Commerce (MOC):** If the MOC returns the application, users can revise details such as the enterprise or company name, business activity, address, business owner details, and representative details [1].
*   **General Department of Taxation (GDT):** If GDT returns the application, revisions are permitted for information related to tax registration application, number of employees, business signs/billboards, estimated turnover, and representative in patent [1].
*   **Ministry of Labour and Vocational Training (MLVT):** If MLVT returns the application, users can revise details such as the number of employees, and owner or director details [1].

If a company needs to change its information after the application has been approved, the user must submit a request form to the relevant ministry/institution and directly contact that institution for further instructions [1].",['obr_modify_registratioin_forms'],"['obr_modify_registratioin_forms', 'gdt_tax_faq', 'online_business_registration_guide', 'online_business_registration_guide', 'online_business_registration_guide']",5,5,5,5,[],False
q018,How can registration details be modified?,"Details on modifying company information depend on the stage of your application [1].

**Before Submission:**
You can freely draft and amend company’s information as long as it has not been submitted to the Ministry of Commerce (MOC) [1]. Once the application is submitted, changes cannot be made while a relevant officer is checking the application [1].

**After Application Return/Rejection by an Authority:**
If your application is returned by a ministry or institution, you can revise certain details depending on which body issued the return:

*   **Ministry of Commerce (MOC):** If MOC returns the application, you may revise information such as the name of enterprise or company, business activity, address, business owner details, and representative details [1].
*   **General Department of Taxation (GDT):** If GDT returns the application, you can revise details including tax registration application information, number of employees, business signs/billboards, estimated turnover, and representative in patent [1].
*   **Ministry of Labour and Vocational Training (MLVT):** If MLVT returns the application, you may revise your company’s information regarding the number of employees and owner or director details [1].

**After Approval:**
If you need to change your company’s information after the application has been approved, you must submit a request form to the relevant ministry/institution and contact that institution directly for further guidance [1].",['obr_modify_registratioin_forms'],"['obr_modify_registratioin_forms', 'online_business_registration_guide', 'online_business_registration_guide', 'online_business_registration_guide', 'gdt_tax_faq']",5,5,5,5,[],False
q019,Where are company modification requirements published?,"Company modification processes and requirements are managed by the following relevant ministries/institutions:

*   Ministry of Commerce (MOC), which handles revisions to company information such as name of enterprise or company, business activity, address, business owner details, and representative details if the application is returned from MOC [1].
*   General Department of Taxation (GDT), which oversees revisions for tax registration application information, number of employees, business signs/billboards, estimated turnover, and representative in patent if the application is returned from GDT [1].
*   Ministry of Labour and Vocational Training (MLVT), which manages revisions for the number of employees and owner or director details if the application is returned from MLVT [1].

Furthermore, if company information needs to be changed after the application has been approved, a request form must be submitted to the relevant ministry/institution directly for further information [1].",['obr_modify_registratioin_forms'],"['obr_modify_registratioin_forms', 'online_business_registration_guide', 'online_business_registration_guide', 'gdt_tax_faq', 'gdt_tax_faq']",2,5,2,5,[],False
q020,Can an existing company amend its registration form?,"Yes, an existing company can modify its registered information, although specific procedures apply depending on whether the application is being reviewed or has already been approved.

Methods for amending company information include:

*   **During Application Review:** If your application is returned by a ministry/institution because the initial information was incomplete or incorrect, you can revise details [1].
    *   **Ministry of Commerce (MOC):** You may revise company details such as name, business activity, address, owner, and representative details [1].
    *   **General Department of Taxation (GDT):** If returned by GDT, you can revise information including tax registration application details, number of employees, business signs/billboards, estimated turnover, and representative in patent [1].
    *   **Ministry of Labour and Vocational Training (MLVT):** If returned by MLVT, you can revise details such as the number of employees and owner or director details [1].
*   **After Approval:** If you need to change company information after your application has been approved, you must submit a request form to the relevant ministry/institution and contact that institution directly for further instructions [1].",['obr_modify_registratioin_forms'],"['obr_modify_registratioin_forms', 'online_business_registration_guide', 'online_business_registration_guide', 'online_business_registration_guide', 'online_business_registration_guide']",5,5,5,5,[],False
q021,How can streamlined registration support Cambodian MSMEs?,"Streamlined registration processes can provide several key supports for Cambodian MSMEs:

*   **Financial Access:** Official business registration enables MSMEs to expand their access to financial resources by allowing them to open bank accounts and improve creditability with banks and financial institutions [2].
*   **Market Access:** Registration supports MSMEs in gaining necessary export permits and licenses, which is crucial for integrating them into the global value chain [2].
*   **Business Development Support:** Streamlining registration helps government departments understand the needs and challenges faced by MSMEs, allowing them to design and deliver targeted business development support programs (tailor-made programmes) [2].

The governmental efforts to promote this are visible through policies such as the ""Guideline For One-Roof Service (ORS) Policy for Registration of Manufacturing Micro-Small and Medium Enterprises (MSMEs) in Cambodia"" [1], with coordination between the Ministry of Industry and Handicraft (MIH), the Royal Government of Cambodia, and international partners like UN DESA [3].",['supporting_msmes_sdgs_cambodia'],"['supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia']",5,5,5,5,[],False
q022,What links Cambodia MSME formalization to the SDGs?,"Based on the evidence, the formalization of MSMEs in Cambodia is linked to achieving the SDGs through streamlining business registration policies and unlocking their potentials [4]. These initiatives are designed to support MSMEs in achieving the Sustainable Development Goals (SDGs) [1], as documented by collaboration between the Ministry of Industry and Handicraft (MIH), the Royal Government of Cambodia, and the United Nations Department of Economic and Social Affairs [4].",['supporting_msmes_sdgs_cambodia'],"['supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia']",5,5,4,1,[],False
q023,What barriers to MSME registration are discussed in the UN report?,"The UN report discusses several barriers to MSME formalization and registration in Cambodia:

**1. Access to Finance and Markets:**
*   Accessing financial resources is limited because microfinance operators tend to be concentrated in Phnom Penh and certain economic areas, restricting access for MSMEs in other regions [3].
*   Lack of official registration makes it difficult for MSMEs to gain access to international markets [3].

**2. Business Development Support:**
*   Support services are often designed for registered MSMEs (such as the Entrepreneurship Development Fund and Skills Development Fund), making it challenging for government departments to tailor programs for informal MSMEs [3].
*   Business development support tends to concentrate in the Phnom Penh capital area, limiting access for informal MSMEs in rural areas [3].

**3. Practical Hurdles of Registration:**
Despite the benefits of registration (such as improved creditability and better market access) [3], many MSME entrepreneurs remain informal due to:
*   **Complexity and Time:** The process was previously reported to require an average of 99 days and about 75 licenses from different government departments, without a single guideline providing comprehensive information on necessary steps and documents [3].
*   **Costs:** There is concern over the high costs and time involved in completing registration [3].
*   **Operational Concerns:** Some entrepreneurs fear that formalizing their business would lead to losing a competitive edge by incurring higher operating costs, including taxes and fees, compared to remaining unregistered [3].",['supporting_msmes_sdgs_cambodia'],"['supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia']",5,3,5,5,"['Limited access to financial resources is a barrier to MSME registration', 'Lack of access to international markets is a barrier to MSME registration', 'Limited access to business development support is a barrier to MSME registration']",True
q024,Why is business formalization important for Cambodian MSMEs?,"Official business registration can benefit Cambodian MSMEs by facilitating several areas:

*   **Financial Access:** As registered businesses, MSMEs can improve their creditability and expand access to financial resources from banks and financial institutions, including being able to open bank accounts [3].
*   **Market Expansion:** Registration supports MSMEs in obtaining necessary export permits and licenses, which is crucial for their integration into the global value chain [3]. The lack of official registration severely limits a business's ability to gain access to international markets [3].
*   **Business Support Services:** Formalization helps inform government departments about the demands and challenges faced by MSMEs. This information allows government departments and international organizations to better design and deliver tailored business development support programs [3].

Conversely, informal MSME entrepreneurs often face difficulties accessing services (like those provided by the Entrepreneurship Development Fund or Skills Development Fund) because these funds are primarily open only to registered MSMEs [3].",['supporting_msmes_sdgs_cambodia'],"['supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia']",5,5,5,2,[],False
q025,What policy improvements can streamline MSME registration?,"Policy improvements to streamline MSME registration focus on centralizing fragmented processes, simplifying procedures through digitalization, and establishing dedicated coordinating bodies.

**In Cambodia:**
Policies have been developed to address the issue of a historically ""fragmented"" registration process that involves different government departments [5]. Key policy initiatives include:

*   **The One-Roof Service (ORS) Policy:** This was launched by the Government of Cambodia, underpinned by the General Department of Small and Medium Enterprise (GDSME/MIH), to systematize MSME registration [1], providing a one-stop service designed to consolidate processes currently fragmented across different Ministries [5].
*   **Institutional Framework:** The process is supported by the SMEs Development Framework and subsequent policies, such as the MSME Development Policy 2019-2029, developed by the Ministry of Industry and Handicraft (MIH) [5], with MIH providing an office to coordinate policy implementation [5].

**Comparative Policies for Improvement:**
Reviewing other ASEAN countries highlights several effective policies that could improve Cambodian registration:

*   **Centralized Policy Coordination:** Establishing a single main government department, such as the Ministry of Trade and Industry (MTI) in Singapore, responsible for coordinating MSME development strategies and policies is crucial [3].
*   **Digital One-Stop Platforms:** Implementing digital solutions like the one used by the Government of Singapore—a comprehensive one-stop platform—allows businesses to conduct online registration and obtain all necessary licenses and permits, including tax registration [3].
*   **Simplified Procedures:** Streamlining processes by installing simplified procedures for core requirements, such as company registration, tax filing, and social security forms, can improve ease of doing business (as seen in Singapore) [3].",['supporting_msmes_sdgs_cambodia'],"['supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia']",5,5,5,4,[],False
q026,Where can businesses find official Cambodian tax FAQs?,Businesses can find information related to taxation through the General Department of Taxation (GDT) which has a website at www.tax.gov.kh [2].,['gdt_tax_faq'],"['supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia', 'online_business_registration_guide', 'online_business_registration_guide', 'supporting_msmes_sdgs_cambodia']",5,5,5,2,[],False
q027,What tax guidance does the General Department of Taxation provide?,"The General Department of Taxation provides guidance on tax obligations, registration procedures, and financial record-keeping requirements for businesses in Cambodia:

**1. Tax Filing and Obligations:**
*   Registered entities must submit both monthly and annual tax declarations to the General Department of Tax (GDT) [1].
*   All businesses are obligated to pay tax based on a self-declaration basis, calculated from the enterprise's annual turnover [4].
*   Businesses have the obligation to file monthly and annual tax declarations, which can cover taxes such as:
    *   Income Tax (PIT/CIT) [3]
    *   VAT (Value Added Tax) [3]
    *   Withholding Tax [3]
    *   Patenty Tax
    *   Special Consumption Tax [3]

**2. Procedures and Required Documentation:**
The GDT outlines specific documents required for tax registration and updates based on the entity type:

*   **General Registration Requirements (for various entities) [3], [5]:** These often include:
    *   A Certificate of Registration or Permit issued by the Royal Government or relevant ministries/institutions [3].
    *   The identity card or valid passport of the Head of Institution or Representative, along with documentation for any change in address (Family's Record or Resident Record) [3].
    *   Title deed or rental agreement of the property containing geographical coordinates [3], [5].
    *   A Certificate of bank account information issued by the bank (must be provided after tax registration approval) [3], [5].

*   **For Associations and Non-Governmental Organizations (NGOs):** They must complete Form 101-P1 and attach documents including their Statute or Memorandum, alongside a Certificate of Registration or Permit from the Royal Government or relevant ministries/institutions [3].
*   **For Partnership Companies:** They must fill out Form 101-P4 and submit documents such as:
    *   A Contract of Partnership [5].
    *   A Declaration letter confirming no conviction in commercial, civil, or criminal cases, nor being a government official [5].

**3. Record Keeping and Accounting Guidance:**
*   The GDT emphasizes the necessity of maintaining correct and accurate financial records, even for small businesses [1].
*   Businesses must set up detailed filing systems, prepare numbered receipts and invoice books, and keep careful copies of every transaction [1].
*   Users are advised to employ accounting tools, such as keeping track of income and expenses in a system like QuickBooks, to generate monthly, quarterly, and annual financial reports that assist in business analysis and decision-making [1].

**4. Digitalization and Online Services:**
*   The GDT operates an online tax registration platform (since 2014) [2], which is part of efforts towards establishing a one-stop platform for business services, integrating requirements from various government departments [2].
*   Taxpayers can monitor data through the General Department of Taxation's online system ([3]).

**5. Specific Tax Rate Guidance:**
The GDT provides information on withholding tax rates for non-resident taxpayers on certain income types (as per law) [5]:
*   15% is applied to income from various services (including consulting or management services) provided by individuals not under the self-declaration regime [5].
*   Rates are set for payments concerning immovable/movable property, bank deposits, and other forms of income derived from specific source countries [5].

***
**Source Citations:**
*   General filing requirements and document lists: [3], [5] (These sources contain detailed tax registration documents based on relevant laws/Prakas).
*   Mandatory reporting and basic record-keeping advice: [1]
*   Self-declaration principle and post-MOC requirements: [4]
*   Digital infrastructure development/integration plan: [2]",['gdt_tax_faq'],"['khmersme_starting_business_step_7', 'supporting_msmes_sdgs_cambodia', 'gdt_tax_faq', 'online_business_registration_guide', 'gdt_tax_faq']",5,4,5,4,"['PIT/CIT', 'Patenty Tax']",True
q028,Where should a new business look for answers to tax questions?,"A new business should look for information regarding tax questions from official sources such as the Ministry of Economy and Finance [1], [2], or the General Department of Taxation [3].

Specifically, guidance can be found:
*   In general resources provided by the Ministry of Economy and Finance [1], which covers topics like ""Classification of Taxpayers"" [1] and registration procedures.
*   In specific laws and regulations (Prakas) issued by the General Department of Taxation, such as those detailing requirements for tax registration or e-Filing implementation [3].",['gdt_tax_faq'],"['online_business_registration_guide', 'online_business_registration_guide', 'gdt_tax_faq', 'khmersme_starting_business_step_7', 'online_business_registration_guide']",5,2,2,1,"['The citations [1], [2], and [3] do not exist in the provided evidence.', 'The claim that a business should look for answers from the Ministry of Economy and Finance as a general source of information is an inference; the text only cites specific MEF Prakas (regulations).', 'The answer fails to mention the explicit recommendation in the text to seek support from a bookkeeper, accountant, or service provider for tax matters.']",True
q029,Which agency publishes Cambodia tax FAQs?,The knowledge base does not contain enough information to answer this question.,['gdt_tax_faq'],"['supporting_msmes_sdgs_cambodia', 'online_business_registration_guide', 'supporting_msmes_sdgs_cambodia', 'technology_adoption_transfer_cambodia', 'online_business_registration_guide']",5,5,5,5,[],False
q030,How can taxpayers obtain official frequently asked questions?,The knowledge base does not contain enough information to answer this question.,['gdt_tax_faq'],"['khmersme_starting_business_step_7', 'online_business_registration_guide', 'gdt_tax_faq', 'gdt_tax_faq', 'online_business_registration_guide']",5,5,5,5,[],False
q031,What law governs commercial enterprises in Cambodia?,"Commercial enterprises in Cambodia are governed by the following laws:
*   The Law on Commercial Enterprise (2005) [1].
*   The Law Commercial Rule and Register (1999) [1].

These laws stipulate that MSMEs must register with the Ministry of Commerce (MoC) using these acts to obtain corporate certificates [2].",['law_on_commercial_enterprises'],"['supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia']",5,5,5,5,[],False
q032,Where can I read Cambodia’s Law on Commercial Enterprises?,The knowledge base does not contain enough information to answer this question.,['law_on_commercial_enterprises'],"['supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia', 'technology_adoption_transfer_cambodia', 'supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia']",5,5,5,5,[],False
q033,What legal source covers Cambodian company organization?,"A key legal source regarding Cambodian companies is the Law on Commercial Enterprise (2005) [1]. Additionally, other relevant laws include the Law on Administration of Factory and Handicraft (2006) [1] and the Law Commercial Rule and Register (1999) [1].",['law_on_commercial_enterprises'],"['supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia']",5,5,5,5,[],False
